,Time,Open,High,Low,Close,Volume,Action
0,1/1/2010 0:00,1.4328299999999998,1.43293,1.43224,1.43293,608600007.1,-1.0
1,1/1/2010 0:15,1.43285,1.43295,1.43229,1.43275,535600003.2,-1.0
2,1/1/2010 0:30,1.4328,1.43303,1.43239,1.4328100000000001,436299999.2,-1.0
3,1/1/2010 0:45,1.43285,1.4329399999999999,1.43229,1.43276,614299997.3,0.0
4,1/1/2010 1:00,1.43287,1.43292,1.43206,1.43282,705300008.8,0.0
5,1/1/2010 1:15,1.4329,1.43299,1.43212,1.43292,427300005.9,0.0
6,1/1/2010 1:30,1.43267,1.43305,1.4320899999999999,1.43282,399200000.8,-1.0
7,1/1/2010 1:45,1.4328,1.4330200000000002,1.43218,1.43249,481200008.4,0.0
8,1/1/2010 2:00,1.43279,1.43303,1.4323700000000001,1.4330100000000001,607599996.6,0.0
9,1/1/2010 2:15,1.4330100000000001,1.43303,1.43222,1.43271,469600000.4,0.0
10,1/1/2010 2:30,1.43285,1.43305,1.43228,1.43285,492100001.3,0.0
11,1/1/2010 2:45,1.43288,1.4330200000000002,1.43218,1.43278,940599988.0,0.0
12,1/1/2010 3:00,1.43285,1.4330200000000002,1.43222,1.43287,931899999.6,0.0
13,1/1/2010 3:15,1.4328,1.43306,1.43219,1.43292,729700006.5,0.0
14,1/1/2010 3:30,1.4328,1.4330200000000002,1.43219,1.43276,898299997.3,0.0
15,1/1/2010 3:45,1.43284,1.43293,1.43181,1.4320899999999999,721799999.2,0.0
16,1/1/2010 4:00,1.43218,1.4330200000000002,1.43182,1.4327299999999998,828199995.0,0.0
17,1/1/2010 4:15,1.4326299999999998,1.4329399999999999,1.43204,1.43223,648600000.4,0.0
18,1/1/2010 4:30,1.43239,1.4330200000000002,1.43197,1.43282,584900001.5,0.0
19,1/1/2010 4:45,1.43284,1.43295,1.4322,1.43236,563500003.8,0.0
20,1/1/2010 5:00,1.4323700000000001,1.4329399999999999,1.4319899999999999,1.43268,616799997.3,0.0
21,1/1/2010 5:15,1.43275,1.4329399999999999,1.43211,1.43277,727899997.7,0.0
22,1/1/2010 5:30,1.43214,1.43298,1.4321,1.43268,593899999.6,0.0
23,1/1/2010 5:45,1.4325299999999999,1.43306,1.43214,1.43303,699299997.3,0.0
24,1/1/2010 6:00,1.4328299999999998,1.43335,1.43269,1.43334,681700002.7,0.0
25,1/1/2010 6:15,1.43331,1.4333200000000001,1.43268,1.43326,708699993.1,0.0
26,1/1/2010 6:30,1.4332200000000002,1.43333,1.4327,1.43315,925499998.1,0.0
27,1/1/2010 6:45,1.43318,1.43331,1.43269,1.43286,812399997.7,0.0
28,1/1/2010 7:00,1.4332799999999999,1.4334200000000001,1.43226,1.4330399999999999,912299995.4,0.0
29,1/1/2010 7:15,1.43303,1.43334,1.43254,1.43316,935200000.8,0.0
30,1/1/2010 7:30,1.43329,1.43344,1.43307,1.4332799999999999,974099998.5,0.0
31,1/1/2010 7:45,1.4332799999999999,1.43346,1.4327,1.43324,1111100006.0,0.0
32,1/1/2010 8:00,1.43297,1.43333,1.43218,1.43266,1296499996.0,0.0
33,1/1/2010 8:15,1.43266,1.4333200000000001,1.4324700000000001,1.43275,986800006.9,0.0
34,1/1/2010 8:30,1.43264,1.43333,1.43221,1.43293,1131000008.0,0.0
35,1/1/2010 8:45,1.43292,1.43335,1.43251,1.43308,1210800003.0,0.0
36,1/1/2010 9:00,1.43325,1.43343,1.43272,1.43315,1168700012.0,0.0
37,1/1/2010 9:15,1.43323,1.4333200000000001,1.4327,1.43308,1353199997.0,0.0
38,1/1/2010 9:30,1.43324,1.43334,1.43249,1.43258,1136300007.0,0.0
39,1/1/2010 9:45,1.43256,1.43333,1.43218,1.43321,1416700005.0,0.0
40,1/1/2010 10:00,1.4332200000000002,1.43345,1.43272,1.43329,1212600006.0,0.0
41,1/1/2010 10:15,1.43317,1.43339,1.43272,1.4328,1605900002.0,0.0
42,1/1/2010 10:30,1.4326299999999998,1.43344,1.4326299999999998,1.4332799999999999,1050899998.0,0.0
43,1/1/2010 10:45,1.4333200000000001,1.43346,1.43307,1.43325,1133499996.0,0.0
44,1/1/2010 11:00,1.43327,1.43343,1.43269,1.43316,1018100002.0,0.0
45,1/1/2010 11:15,1.43315,1.43334,1.43274,1.43324,828000000.0,0.0
46,1/1/2010 11:30,1.43324,1.43334,1.43269,1.43325,846599998.5,0.0
47,1/1/2010 11:45,1.4331399999999999,1.43334,1.43267,1.43306,787200006.5,0.0
48,1/1/2010 12:00,1.43321,1.43333,1.43268,1.4330100000000001,646499985.7,0.0
49,1/1/2010 12:15,1.43287,1.43344,1.43258,1.43295,895900007.2,0.0
50,1/1/2010 12:30,1.43324,1.43336,1.43267,1.43318,957799995.4,0.0
51,1/1/2010 12:45,1.43317,1.43336,1.43271,1.43293,1063199999.0,0.0
52,1/1/2010 13:00,1.43284,1.43288,1.43208,1.4320899999999999,876599998.5,0.0
53,1/1/2010 13:15,1.43208,1.43334,1.4320700000000002,1.43276,690500000.0,0.0
54,1/1/2010 13:30,1.43316,1.4334799999999999,1.43287,1.43325,878500011.4,0.0
55,1/1/2010 13:45,1.43327,1.4335200000000001,1.43288,1.43331,1074599998.0,0.0
56,1/1/2010 14:00,1.43279,1.4335200000000001,1.43266,1.43346,1052500000.0,0.0
57,1/1/2010 14:15,1.43346,1.43351,1.43274,1.43284,933900001.5,0.0
58,1/1/2010 14:30,1.43311,1.43354,1.43259,1.43307,969900009.2,0.0
59,1/1/2010 14:45,1.43335,1.43351,1.43266,1.43308,1037200008.0,0.0
60,1/1/2010 15:00,1.43337,1.43354,1.43316,1.43327,1073199986.0,0.0
61,1/1/2010 15:15,1.43335,1.43353,1.43318,1.43353,1079899998.0,0.0
62,1/1/2010 15:30,1.43334,1.4335200000000001,1.43317,1.43337,1086800003.0,0.0
