<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,Signal HA
USDJPY,20010102,230300,114.43,114.43,114.43,114.43,4,0.0
USDJPY,20010102,230400,114.44,114.44,114.44,114.44,4,1.0
USDJPY,20010102,230500,114.44,114.44,114.44,114.44,4,1.0
USDJPY,20010102,230700,114.44,114.44,114.44,114.44,4,1.0
USDJPY,20010102,230800,114.44,114.44,114.44,114.44,4,1.0
USDJPY,20010102,230900,114.44,114.44,114.44,114.44,4,1.0
USDJPY,20010102,231100,114.44,114.45,114.44,114.45,4,1.0
USDJPY,20010102,231200,114.45,114.45,114.45,114.45,4,1.0
USDJPY,20010102,231300,114.45,114.45,114.43,114.43,4,0.0
USDJPY,20010102,231400,114.42,114.42,114.41,114.41,4,-1.0
USDJPY,20010102,231500,114.41,114.41,114.4,114.4,4,-1.0
USDJPY,20010102,231600,114.4,114.4,114.39,114.39,4,-1.0
USDJPY,20010102,232000,114.39,114.39,114.38,114.38,4,-1.0
USDJPY,20010102,232100,114.38,114.38,114.38,114.38,4,-1.0
USDJPY,20010102,232200,114.38,114.39,114.38,114.39,4,0.0
USDJPY,20010102,232300,114.39,114.39,114.39,114.39,4,1.0
USDJPY,20010102,232400,114.4,114.4,114.4,114.4,4,1.0
USDJPY,20010102,232500,114.39,114.39,114.38,114.38,4,-1.0
USDJPY,20010102,232600,114.38,114.38,114.38,114.38,4,-1.0
USDJPY,20010102,232700,114.38,114.38,114.38,114.38,4,-1.0
USDJPY,20010102,232800,114.37,114.37,114.37,114.37,4,-1.0
USDJPY,20010102,232900,114.37,114.38,114.37,114.38,4,0.0
USDJPY,20010102,233000,114.38,114.38,114.38,114.38,4,1.0
USDJPY,20010102,233100,114.38,114.38,114.38,114.38,4,1.0
USDJPY,20010102,233400,114.38,114.39,114.38,114.39,4,1.0
USDJPY,20010102,233500,114.4,114.4,114.4,114.4,4,1.0
USDJPY,20010102,233600,114.41,114.41,114.41,114.41,4,1.0
USDJPY,20010102,233700,114.4,114.4,114.4,114.4,4,-1.0
USDJPY,20010102,233800,114.39,114.4,114.39,114.4,4,-1.0
USDJPY,20010102,233900,114.4,114.4,114.39,114.39,4,0.0
