<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,RSI,Signal RSI
EURJPY,20010102,230100,108.81,108.81,108.81,108.81,4,,
EURJPY,20010102,230200,108.81,108.81,108.79,108.79,4,,
EURJPY,20010102,230300,108.79,108.8,108.79,108.8,4,,
EURJPY,20010102,230400,108.8,108.81,108.8,108.81,4,,
EURJPY,20010102,230500,108.81,108.81,108.81,108.81,4,,
EURJPY,20010102,230600,108.81,108.81,108.81,108.81,4,,
EURJPY,20010102,230700,108.81,108.82,108.81,108.82,4,,
EURJPY,20010102,230800,108.82,108.83,108.82,108.82,4,,
EURJPY,20010102,230900,108.82,108.82,108.82,108.82,4,,
EURJPY,20010102,231000,108.82,108.82,108.82,108.82,4,,
EURJPY,20010102,231100,108.82,108.83,108.82,108.83,4,,
EURJPY,20010102,231200,108.83,108.83,108.83,108.83,4,,
EURJPY,20010102,231300,108.83,108.83,108.83,108.83,4,,
EURJPY,20010102,231400,108.83,108.83,108.81,108.81,4,,
EURJPY,20010102,231500,108.8,108.8,108.8,108.8,4,44.44444444444093,0.0
EURJPY,20010102,231600,108.79,108.79,108.78,108.78,4,35.86206896551495,0.0
EURJPY,20010102,232000,108.78,108.78,108.78,108.78,4,35.86206896551495,0.0
EURJPY,20010102,232100,108.77,108.77,108.77,108.77,4,32.2507247972361,0.0
EURJPY,20010102,232200,108.77,108.77,108.77,108.77,4,32.2507247972361,0.0
EURJPY,20010102,232300,108.77,108.77,108.77,108.77,4,32.2507247972361,0.0
EURJPY,20010102,232400,108.77,108.78,108.77,108.78,4,39.81977514878629,0.0
EURJPY,20010102,232500,108.78,108.78,108.77,108.77,4,35.54335960201696,0.0
EURJPY,20010102,232600,108.77,108.77,108.77,108.77,4,35.54335960201696,0.0
EURJPY,20010102,232700,108.77,108.77,108.77,108.77,4,35.54335960201696,0.0
EURJPY,20010102,233000,108.77,108.77,108.77,108.77,4,35.54335960201696,0.0
EURJPY,20010102,233100,108.77,108.77,108.77,108.77,4,35.54335960201696,0.0
EURJPY,20010102,233500,108.79,108.79,108.79,108.79,4,50.83866564164842,0.0
EURJPY,20010102,233600,108.8,108.8,108.8,108.8,4,56.40855375484588,0.0
EURJPY,20010102,233700,108.8,108.8,108.79,108.8,4,56.40855375484588,0.0
EURJPY,20010102,233800,108.8,108.81,108.8,108.8,4,56.40855375484588,0.0
EURJPY,20010102,233900,108.8,108.8,108.8,108.8,4,56.40855375484588,0.0
EURJPY,20010102,234000,108.8,108.8,108.8,108.8,4,56.40855375484588,0.0
EURJPY,20010102,234100,108.79,108.79,108.79,108.79,4,48.4562017618141,0.0
EURJPY,20010102,234200,108.79,108.79,108.79,108.79,4,48.4562017618141,0.0
EURJPY,20010102,234400,108.79,108.79,108.78,108.78,4,41.64689870926288,0.0
